- Wampserver trace report -
File created by Wampserver install
::1 - - [03/May/2020:18:14:15 +0100] "GET /phpmyadmin/ HTTP/1.1" 200 3489
::1 - - [03/May/2020:18:14:17 +0100] "GET /phpmyadmin/themes/pmahomme/jquery/jquery-ui.css HTTP/1.1" 200 36566
::1 - - [03/May/2020:18:14:17 +0100] "GET /phpmyadmin/js/vendor/codemirror/lib/codemirror.css?v=4.9.2 HTTP/1.1" 200 8705
::1 - - [03/May/2020:18:14:17 +0100] "GET /phpmyadmin/js/vendor/codemirror/addon/hint/show-hint.css?v=4.9.2 HTTP/1.1" 200 623
::1 - - [03/May/2020:18:14:17 +0100] "GET /phpmyadmin/js/vendor/codemirror/addon/lint/lint.css?v=4.9.2 HTTP/1.1" 200 2999
::1 - - [03/May/2020:18:14:17 +0100] "GET /phpmyadmin/themes/pmahomme/css/printview.css?v=4.9.2 HTTP/1.1" 200 2746
::1 - - [03/May/2020:18:14:17 +0100] "GET /phpmyadmin/js/console.js?v=4.9.2 HTTP/1.1" 200 57280
::1 - - [03/May/2020:18:14:17 +0100] "GET /phpmyadmin/js/vendor/jquery/jquery-migrate.js?v=4.9.2 HTTP/1.1" 200 19092
::1 - - [03/May/2020:18:14:17 +0100] "GET /phpmyadmin/js/vendor/codemirror/addon/runmode/runmode.js?v=4.9.2 HTTP/1.1" 200 2500
::1 - - [03/May/2020:18:14:17 +0100] "GET /phpmyadmin/js/vendor/jquery/jquery.min.js?v=4.9.2 HTTP/1.1" 200 88145
::1 - - [03/May/2020:18:14:17 +0100] "GET /phpmyadmin/js/messages.php?l=en&v=4.9.2 HTTP/1.1" 200 8869
::1 - - [03/May/2020:18:14:17 +0100] "GET /phpmyadmin/phpmyadmin.css.php?nocache=4688592225ltr&server=1 HTTP/1.1" 200 20802
::1 - - [03/May/2020:18:14:17 +0100] "GET /phpmyadmin/js/whitelist.php?v=4.9.2 HTTP/1.1" 200 491
::1 - - [03/May/2020:18:14:18 +0100] "GET /phpmyadmin/favicon.ico HTTP/1.1" 200 22486
::1 - - [03/May/2020:18:14:23 +0100] "POST /phpmyadmin/index.php HTTP/1.1" 302 20
::1 - - [03/May/2020:18:14:23 +0100] "GET /phpmyadmin/index.php HTTP/1.1" 200 14022
::1 - - [03/May/2020:18:14:25 +0100] "GET /phpmyadmin/phpmyadmin.css.php?nocache=6277118289ltr&server=1 HTTP/1.1" 200 20802
::1 - - [03/May/2020:18:14:25 +0100] "POST /phpmyadmin/ajax.php HTTP/1.1" 200 1400
::1 - - [03/May/2020:18:14:25 +0100] "POST /phpmyadmin/ajax.php HTTP/1.1" 200 1495
